rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
33,1,42004177,24410.75,24410.75,24410.75,24410.75,1,NQU6
33,1,42004177,24419.0,24426.0,24419.0,24426.0,4,NQU6
33,1,42004177,24429.0,24433.0,24429.0,24433.0,4,NQU6
33,1,42004177,24418.25,24418.25,24418.25,24418.25,1,NQU6
33,1,42004177,24431.25,24433.25,24431.25,24432.25,3,NQU6
33,1,42004177,24433.5,24442.5,24433.5,24442.5,3,NQU6
33,1,42004177,24454.25,24454.25,24454.25,24454.25,1,NQU6
33,1,42004177,24453.75,24453.75,24452.5,24452.5,2,NQU6
33,1,42004177,24448.0,24448.25,24447.0,24447.75,4,NQU6
33,1,42004177,24421.25,24421.25,24421.25,24421.25,2,NQU6
33,1,42004177,24438.25,24438.25,24438.25,24438.25,1,NQU6
33,1,42004177,24442.75,24443.25,24423.0,24423.0,9,NQU6
33,1,42004177,24421.5,24421.5,24417.0,24417.0,2,NQU6
33,1,42004177,24428.75,24431.5,24418.75,24418.75,6,NQU6
33,1,42004177,24417.25,24417.25,24417.25,24417.25,1,NQU6
33,1,42004177,24415.75,24425.5,24415.75,24420.25,4,NQU6
33,1,42004177,24403.5,24403.5,24403.5,24403.5,1,NQU6
33,1,42004177,24412.5,24412.5,24412.5,24412.5,2,NQU6
33,1,42004177,24408.0,24408.75,24408.0,24408.75,2,NQU6
33,1,42004177,24413.25,24413.25,24399.75,24399.75,4,NQU6
33,1,42004177,24418.5,24418.5,24417.25,24418.5,3,NQU6
33,1,42004177,24421.25,24421.25,24421.25,24421.25,1,NQU6
33,1,42004177,24413.75,24413.75,24413.75,24413.75,1,NQU6
33,1,42004177,24398.0,24398.0,24398.0,24398.0,1,NQU6
33,1,42004177,24414.75,24414.75,24414.75,24414.75,1,NQU6
33,1,42004177,24391.25,24391.25,24390.5,24390.5,3,NQU6
33,1,42004177,24435.75,24435.75,24435.75,24435.75,1,NQU6
33,1,42004177,24446.0,24446.0,24446.0,24446.0,1,NQU6
33,1,42004177,24358.0,24358.0,24340.25,24340.25,2,NQU6
33,1,42004177,24383.75,24383.75,24383.75,24383.75,1,NQU6
33,1,42004177,24350.0,24350.0,24312.75,24312.75,7,NQU6
33,1,42004177,24312.75,24312.75,24312.75,24312.75,1,NQU6
33,1,42004177,24408.0,24420.0,24408.0,24420.0,5,NQU6
33,1,42004177,24431.75,24431.75,24409.0,24409.0,4,NQU6
33,1,42004177,24370.0,24370.0,24370.0,24370.0,1,NQU6
33,1,42004177,24355.0,24355.0,24355.0,24355.0,1,NQU6
33,1,42004177,24314.25,24314.25,24314.25,24314.25,1,NQU6
33,1,42004177,24268.0,24268.0,24250.0,24250.0,2,NQU6
33,1,42004177,24260.0,24260.0,24260.0,24260.0,1,NQU6
33,1,42004177,24213.75,24220.0,24213.75,24219.5,3,NQU6
33,1,42004177,24200.0,24224.5,24200.0,24224.5,3,NQU6
33,1,42004177,24266.25,24266.25,24211.0,24211.0,4,NQU6
33,1,42004177,24200.5,24200.5,24200.5,24200.5,1,NQU6
33,1,42004177,24184.5,24184.5,24184.5,24184.5,1,NQU6
33,1,42004177,24134.5,24134.5,24134.5,24134.5,1,NQU6
33,1,42004177,24134.5,24134.5,24128.75,24129.25,3,NQU6
33,1,42004177,24168.25,24168.25,24168.25,24168.25,1,NQU6
33,1,42004177,24162.0,24162.0,24162.0,24162.0,3,NQU6
33,1,42004177,24162.0,24162.0,24162.0,24162.0,1,NQU6
33,1,42004177,24151.5,24151.5,24151.5,24151.5,1,NQU6
33,1,42004177,24165.25,24165.25,24165.25,24165.25,1,NQU6
33,1,42004177,24130.25,24130.25,24130.25,24130.25,1,NQU6
33,1,42004177,24118.25,24118.25,24118.25,24118.25,1,NQU6
33,1,42004177,24090.0,24090.0,24090.0,24090.0,1,NQU6
33,1,42004177,24078.75,24078.75,24078.75,24078.75,1,NQU6
33,1,42004177,24079.5,24079.5,24079.5,24079.5,1,NQU6
33,1,42004177,24076.0,24077.0,24076.0,24077.0,2,NQU6
33,1,42004177,24079.0,24079.0,24079.0,24079.0,5,NQU6
33,1,42004177,24036.0,24036.0,24036.0,24036.0,1,NQU6
33,1,42004177,24025.25,24025.5,24025.0,24025.25,5,NQU6
33,1,42004177,24025.0,24025.0,24025.0,24025.0,1,NQU6
33,1,42004177,24029.0,24029.0,24029.0,24029.0,1,NQU6
